Time(s), Torq1(N*m), Torq2(N*m), Torq3(N*m), Tor4(N*m), Accel1(°/s^2), Accel2(°/s^2), Accel3(°/s^2), Accel4(°/s^2), Vel1(°/s), Vel2(°/s), Vel3(°/s), Vel4(°/s), Pos1(°), Pos2(°), Pos3(°), Pos4(°)
0.347,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.381666666667273,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.416458332867672,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.451,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.485666666647264,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.520333333333333,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.555,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.589666666356226,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
5.57787738320407e-13,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.035,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.0696666666666668,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.104331743905242,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.139,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.173666666666665,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.208353678385303,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.243,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.277666666666708,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.312310628255208,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.347,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.381666666667273,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.416458332867672,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.451,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.485666666647264,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.520333333333333,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.555,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.589666666356226,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.624333333333333,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
5.57787738320407e-13,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.035,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.0696666666666668,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.104331743905242,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.139,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.173666666666665,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.208353678385303,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.243,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.277666666666708,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.312310628255208,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.347,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.381666666667273,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.416458332867672,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.451,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.485666666647264,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.520333333333333,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.555,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.589666666356226,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.624333333333333,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.659,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
5.57787738320407e-13,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.035,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.0696666666666668,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.104331743905242,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.139,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.173666666666665,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.208353678385303,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.243,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.277666666666708,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.312310628255208,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.347,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.381666666667273,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.416458332867672,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.451,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.485666666647264,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.520333333333333,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.555,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.589666666356226,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.624333333333333,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.659,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.693666661699613,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
5.57787738320407e-13,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.035,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.0696666666666668,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.104331743905242,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.139,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.173666666666665,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.208353678385303,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.243,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.277666666666708,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.312310628255208,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.347,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.381666666667273,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.416458332867672,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.451,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.485666666647264,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.520333333333333,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.555,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.589666666356226,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.624333333333333,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.659,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.693666661699613,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.728333333333324,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
5.57787738320407e-13,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.035,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.0696666666666668,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.104331743905242,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.139,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.173666666666665,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.208353678385303,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.243,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.277666666666708,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.312310628255208,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.347,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.381666666667273,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.416458332867672,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.451,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.485666666647264,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.520333333333333,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.555,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.589666666356226,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.624333333333333,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.659,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.693666661699613,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.728333333333324,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.763,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
5.57787738320407e-13,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.035,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.0696666666666668,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.104331743905242,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.139,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.173666666666665,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.208353678385303,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.243,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.277666666666708,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.312310628255208,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.347,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.381666666667273,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.416458332867672,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.451,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.485666666647264,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.520333333333333,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.555,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.589666666356226,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.624333333333333,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.659,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.693666661699613,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.728333333333324,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.763,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.797666825614205,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
5.57787738320407e-13,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.035,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.0696666666666668,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.104331743905242,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.139,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.173666666666665,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.208353678385303,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.243,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.277666666666708,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.312310628255208,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.347,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.381666666667273,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.416458332867672,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.451,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.485666666647264,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.520333333333333,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.555,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.589666666356226,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.624333333333333,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.659,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.693666661699613,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.728333333333324,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.763,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.797666825614205,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.832356770833409,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
5.57787738320407e-13,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.035,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.0696666666666668,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.104331743905242,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
